Game,Tipoff,Season,Score,Over_Under,Home_Line
SAC @ PHX,Nov 10 8:00 PM,2024,127-118,229.0,1.0
MEM @ POR,Nov 10 9:00 PM,2024,134-89,226.5,1.0
TOR @ LAL,Nov 10 9:30 PM,2024,103-123,235.5,-10.5
CLE @ CHI,Nov 11 8:00 PM,2024,119-113,237.0,8.0
WAS @ HOU,Nov 11 8:00 PM,2024,92-107,231.0,-12.0
BKN @ NOP,Nov 11 8:00 PM,2024,107-105,209.5,1.5
LAC @ OKC,Nov 11 8:00 PM,2024,128-134,218.5,-6.5
SAC @ SAS,Nov 11 8:00 PM,2024,96-116,222.5,2.5
ATL @ BOS,Nov 12 7:00 PM,2024,117-116,225.0,-16.0
MIA @ DET,Nov 12 7:00 PM,2024,121-123,214.5,1.5
CHA @ ORL,Nov 12 7:00 PM,2024,89-114,213.0,-9.0
NYK @ PHI,Nov 12 7:30 PM,2024,111-99,212.5,3.5
TOR @ MIL,Nov 12 8:00 PM,2024,85-99,225.5,-9.0
PHX @ UTA,Nov 12 9:00 PM,2024,120-112,229.0,5.5
DAL @ GSW,Nov 12 10:00 PM,2024,117-120,235.0,-2.5
MIN @ POR,Nov 12 10:00 PM,2024,108-122,221.5,9.5
IND @ ORL,Nov 13 7:00 PM,2024,90-94,224.5,-1.0
BOS @ BKN,Nov 13 7:30 PM,2024,139-114,219.5,10.0
CHI @ NYK,Nov 13 7:30 PM,2024,124-123,233.0,-8.5
NOP @ OKC,Nov 13 7:30 PM,2024,88-106,225.0,-14.5
CLE @ PHI,Nov 13 7:30 PM,2024,114-106,218.5,11.0
LAC @ HOU,Nov 13 8:00 PM,2024,103-111,214.0,-5.0
DET @ MIL,Nov 13 8:00 PM,2024,120-127,213.0,-7.0
WAS @ SAS,Nov 13 8:00 PM,2024,130-139,224.5,-9.5
MEM @ LAL,Nov 13 10:00 PM,2024,123-128,233.0,-7.5
MIN @ POR,Nov 13 10:00 PM,2024,98-106,220.0,10.0
PHX @ SAC,Nov 13 10:00 PM,2024,104-127,226.5,-8.0
DAL @ UTA,Nov 14 9:00 PM,2024,113-115,230.0,7.5
MIA @ IND,Nov 15 7:00 PM,2024,124-111,228.5,-4.5
PHI @ ORL,Nov 15 7:00 PM,2024,86-98,208.5,1.5
DET @ TOR,Nov 15 7:00 PM,2024,99-95,225.0,2.5
WAS @ ATL,Nov 15 7:30 PM,2024,117-129,241.5,-9.5
CHI @ CLE,Nov 15 7:30 PM,2024,126-144,238.5,-10.0
BKN @ NYK,Nov 15 7:30 PM,2024,122-124,214.0,-8.5
LAL @ SAS,Nov 15 7:30 PM,2024,120-115,228.0,2.5
LAC @ HOU,Nov 15 8:00 PM,2024,104-125,215.0,-4.5
DEN @ NOP,Nov 15 8:00 PM,2024,94-101,218.0,2.0
PHX @ OKC,Nov 15 8:00 PM,2024,83-99,228.0,7.0
MEM @ GSW,Nov 15 10:00 PM,2024,118-123,236.5,-7.0
MIN @ SAC,Nov 15 10:00 PM,2024,130-126,222.0,1.5
MIL @ CHA,Nov 16 3:00 PM,2024,114-115,220.0,4.0
TOR @ BOS,Nov 16 8:00 PM,2024,123-126,230.0,-16.5
LAL @ NOP,Nov 16 8:00 PM,2024,104-99,220.5,8.0
SAS @ DAL,Nov 16 8:30 PM,2024,93-110,229.0,-13.5
UTA @ SAC,Nov 16 10:00 PM,2024,117-121,228.0,-7.0
PHX @ MIN,Nov 17 3:30 PM,2024,117-120,218.5,-7.5
MIA @ IND,Nov 17 5:00 PM,2024,110-119,228.0,-3.5
CHA @ CLE,Nov 17 6:00 PM,2024,114-128,226.5,-10.0
DEN @ MEM,Nov 17 6:00 PM,2024,90-105,229.0,-6.0
ATL @ POR,Nov 17 6:00 PM,2024,110-114,230.0,4.0
DET @ WAS,Nov 17 6:00 PM,2024,124-104,231.5,5.0
HOU @ CHI,Nov 17 7:00 PM,2024,143-107,234.0,4.5
BKN @ NYK,Nov 17 7:00 PM,2024,104-114,221.5,-10.0
DAL @ OKC,Nov 17 7:00 PM,2024,121-119,226.0,-7.5
UTA @ LAC,Nov 17 9:00 PM,2024,105-116,221.0,-9.5
CHI @ DET,Nov 18 7:00 PM,2024,122-112,234.5,-4.0
PHI @ MIA,Nov 18 7:30 PM,2024,89-106,212.0,-2.5
WAS @ NYK,Nov 18 7:30 PM,2024,106-134,233.0,-14.5
IND @ TOR,Nov 18 7:30 PM,2024,119-130,236.5,3.0
HOU @ MIL,Nov 18 8:00 PM,2024,100-101,225.0,-3.0
ORL @ PHX,Nov 18 9:00 PM,2024,109-99,211.5,4.5
ATL @ SAC,Nov 18 10:00 PM,2024,109-108,235.0,-4.0
GSW @ LAC,Nov 18 10:30 PM,2024,99-102,226.0,5.0
CLE @ BOS,Nov 19 7:00 PM,2024,117-120,234.5,-7.0
CHA @ BKN,Nov 19 7:30 PM,2024,115-116,219.5,-1.5
DEN @ MEM,Nov 19 8:00 PM,2024,122-110,223.5,-6.0
NOP @ DAL,Nov 19 8:30 PM,2024,91-132,222.5,-13.0
OKC @ SAS,Nov 19 9:30 PM,2024,104-110,222.5,10.0
UTA @ LAL,Nov 19 10:30 PM,2024,118-124,234.0,-10.5
NOP @ CLE,Nov 20 7:30 PM,2024,100-128,217.0,-14.0
CHI @ MIL,Nov 20 7:30 PM,2024,106-122,239.0,-9.0
IND @ HOU,Nov 20 8:00 PM,2024,113-130,232.0,-6.0
PHI @ MEM,Nov 20 8:00 PM,2024,111-117,226.5,4.5
POR @ OKC,Nov 20 8:00 PM,2024,99-109,222.0,-13.0
ATL @ GSW,Nov 20 10:00 PM,2024,97-120,239.5,-7.0
NYK @ PHX,Nov 20 10:00 PM,2024,138-122,227.0,4.5
ORL @ LAC,Nov 20 10:30 PM,2024,93-104,205.0,3.0
DET @ CHA,Nov 21 7:00 PM,2024,121-123,222.0,2.0
MIN @ TOR,Nov 21 7:30 PM,2024,105-110,225.5,7.0
UTA @ SAS,Nov 21 8:00 PM,2024,118-126,224.0,-3.0
ORL @ LAL,Nov 21 10:30 PM,2024,119-118,216.0,-5.0
BKN @ PHI,Nov 22 7:00 PM,2024,98-113,215.0,-3.0
BOS @ WAS,Nov 22 7:00 PM,2024,108-96,238.0,15.5
GSW @ NOP,Nov 22 7:30 PM,2024,112-108,221.5,10.5
ATL @ CHI,Nov 22 8:00 PM,2024,122-136,247.0,2.0
POR @ HOU,Nov 22 8:00 PM,2024,88-116,226.5,-11.5
IND @ MIL,Nov 22 8:00 PM,2024,117-129,235.0,-5.5
DAL @ DEN,Nov 22 10:00 PM,2024,123-120,229.0,-4.5
SAC @ LAC,Nov 22 10:30 PM,2024,88-104,217.5,4.0
NYK @ UTA,Nov 23 5:00 PM,2024,106-121,233.5,8.5
DET @ ORL,Nov 23 7:00 PM,2024,100-111,207.0,-9.0
MEM @ CHI,Nov 23 8:00 PM,2024,142-131,244.0,4.5
POR @ HOU,Nov 23 8:00 PM,2024,104-98,226.0,-12.0
CHA @ MIL,Nov 23 8:00 PM,2024,119-125,224.0,-8.0
GSW @ SAS,Nov 23 8:30 PM,2024,94-104,229.5,3.5
DEN @ LAL,Nov 23 10:30 PM,2024,127-102,236.0,-4.0
MIN @ BOS,Nov 24 3:30 PM,2024,105-107,222.5,-8.0
WAS @ IND,Nov 24 5:00 PM,2024,103-115,240.5,-12.0
DAL @ MIA,Nov 24 6:00 PM,2024,118-123,221.0,-3.0
LAC @ PHI,Nov 24 6:00 PM,2024,125-99,210.5,1.0
TOR @ CLE,Nov 24 7:30 PM,2024,108-122,233.5,-11.5
BKN @ SAC,Nov 24 9:00 PM,2024,108-103,223.0,-10.5
ORL @ CHA,Nov 25 7:00 PM,2024,95-84,212.0,4.5
TOR @ DET,Nov 25 7:00 PM,2024,100-102,220.0,-4.0
NOP @ IND,Nov 25 7:00 PM,2024,110-114,227.0,-7.5
DAL @ ATL,Nov 25 7:30 PM,2024,129-119,236.0,-2.5
LAC @ BOS,Nov 25 7:30 PM,2024,94-126,218.5,-10.5
POR @ MEM,Nov 25 8:00 PM,2024,98-123,233.5,-10.5
NYK @ DEN,Nov 25 9:00 PM,2024,145-118,233.0,-2.0
