name,pos,age
Cameron Payne,PG,31.0
Cody Williams,SG,21.0
Ryan Kalkbrenner,C,24.0
Quinten Post,PF,25.0
Gary Trent Jr.,SG,27.0
Bruce Brown,SG,29.0
Nique Clifford,SG,23.0
Luka Garza,C,27.0
Vince Williams Jr.,SG,25.0
Devin Carter,PG,23.0
Kris Dunn,PG,31.0
Chaney Johnson,SF,23.0
Jaylin Williams,PF,23.0
Walter Clayton,PG,22.0
Nikola Jović,PF,22.0
Moritz Wagner,C,28.0
Buddy Hield,SG,33.0
Bogdan Bogdanović,SG,33.0
Caris LeVert,SG,31.0
Taylor Hendricks,PF,22.0
Sharife Cooper,PG,24.0
Terance Mann,SG,29.0
Gary Payton II,SG,33.0
Paul Reed,C,26.0
Ja'Kobe Walter,SG,21.0
Josh Minott,PF,23.0
Jose Alvarado,PG,27.0
Jaxson Hayes,C,25.0
Kobe Sanders,SG,23.0
Lawson Lovering,C,22.0
Ben Sheppard,SG,24.0
Malachi Smith,SG,26.0
Will Richard,SG,23.0
Pat Spencer,PG,29.0
Seth Curry,SG,35.0
Javonte Green,SG,32.0
Elijah Harkless,SG,25.0
Trendon Watford,PF,25.0
Grant Williams,PF,27.0
Nate Williams,SG,26.0
Patrick Williams,PF,24.0
Robert Williams,C,28.0
Isaiah Jackson,C,24.0
Cole Anthony,PG,25.0
Kevin Love,PF,37.0
Ben Saraf,SG,19.0
Jevon Carter,PG,30.0
Julian Strawther,SG,23.0
Oso Ighodaro,PF,23.0
Luke Kornet,C,30.0
Jamal Shead,PG,23.0
Kenrich Williams,PF,31.0
Keon Ellis,SG,26.0
Tyrese Martin,SG,26.0
Alex Caruso,SG,31.0
Andre Drummond,C,32.0
Taurean Prince,SF,31.0
Ousmane Dieng,C,22.0
Kyle Anderson,SF,32.0
Jalen Slawson,SF,26.0
Jamir Watkins,SG,24.0
Gradey Dick,SG,22.0
Justin Edwards,SF,22.0
Ryan Nembhard,PG,22.0
Tidjane Salaün,PF,20.0
Kasparas Jakučionis,PG,19.0
Drake Powell,SG,20.0
Leonard Miller,SF,22.0
Thomas Bryant,C,28.0
Oscar Tshiebwe,C,26.0
Ryan Dunn,SF,23.0
Tyson Etienne,PG,26.0
Tre Mann,PG,24.0
Nick Richards,C,28.0
Mac McClung,SG,27.0
Steven Adams,C,32.0
Kris Murray,SF,25.0
Dru Smith,SG,28.0
Nick Smith Jr.,SG,21.0
Dean Wade,PF,29.0
Jalen Wilson,PF,25.0
Goga Bitadze,C,26.0
Karlo Matković,PF,24.0
Jamaree Bouyea,PG,26.0
Spencer Jones,SF,24.0
Sidy Cissoko,SF,21.0
Eric Gordon,SG,37.0
Haywood Highsmith,SF,29.0
Aaron Holiday,PG,29.0
Yves Missi,C,21.0
Mitchell Robinson,C,27.0
Nae'Qwan Tomlin,PF,25.0
Rob Dillingham,PG,21.0
Jett Howard,SF,22.0
Jahmai Mashack,SG,23.0
Marcus Sasser,PG,25.0
Sion James,SG,23.0
Doug McDermott,SF,34.0
Matisse Thybulle,SG,28.0
Jordan Walsh,PF,21.0
Blake Wesley,SG,22.0
KJ Simpson,PG,23.0
Drew Eubanks,C,28.0
Andersson Garcia,SF,25.0
Garrison Mathews,SG,29.0
Guerschon Yabusele,C,30.0
Dylan Cardwell,C,24.0
Johnny Furphy,SG,21.0
Killian Hayes,PG,24.0
Jalen Pickett,SG,26.0
Ethan Thompson,SG,26.0
Asa Newell,PF,20.0
John Poulakidas,SG,22.0
Kobe Brown,PF,26.0
Baylor Scheierman,SG,25.0
Ochai Agbaji,SG,25.0
