name,pos,age
Jacob Gilyard,PG,25
Armoni Brooks,PG,25
Troy Brown Jr.,SF,24
Max Christie,SG,20
Ashton Hagans,PG,24
Danuel House Jr.,SF,30
Skylar Mays,PG,26
Sandro Mamukelashvili,C,24
Luka Šamanić,PF,24
Jae'Sean Tate,SF,28
Patty Mills,PG,35
Izaiah Brockington,PG,24
Ousmane Dieng,PF,20
Luka Garza,C,25
Mouhamed Gueye,PF,21
Justin Holiday,SG,34
Matthew Hurt,PF,23
JaVale McGee,C,36
Svi Mykhailiuk,SF,26
Rayan Rupert,SG,19
Adama Sanogo,PF,21
Jaylin Williams,C,21
Jules Bernard,SG,24
Chris Duarte,SF,26
DeAndre Jordan,C,35
Sidy Cissoko,SF,19
Anthony Gill,PF,31
KJ Martin,SF,23
Keita Bates-Diop,SF,28
Oshae Brissett,SF,25
Jamal Cain,PF,24
Drew Peterson,PF,24
T.J. Warren,SF,30
James Bouknight,SG,23
Collin Gillespie,PG,24
Gui Santos,PF,21
Jarace Walker,PF,20
Lindy Waters III,SG,26
Théo Maledon,PG,22
Onuralp Bitim,SG,24
Jordan McLaughlin,PG,27
Marques Bolden,C,25
Ryan Rollins,PG,21
Yuta Watanabe,SF,29
Buddy Boeheim,SF,24
Moses Brown,C,24
Wenyen Gabriel,PF,26
Nassir Little,SF,23
Jalen McDaniels,SF,26
Jaden Springer,SG,21
Charles Bassey,C,23
Micah Potter,PF,25
Dwight Powell,C,32
Terquavion Smith,PG,21
Garrett Temple,SG,37
Tristan Thompson,C,32
Oscar Tshiebwe,PF,24
Kira Lewis Jr.,PG,22
A.J. Lawson,SG,23
Boban Marjanović,C,35
Zeke Nnaji,PF,23
Ish Smith,PG,35
JT Thor,PF,21
Brandon Williams,PG,24
Wesley Matthews,SG,37
