,name1,name2,overEV,over_prob,underEV,under_prob,over_underEV,over_under_prob,under_overEV,under_over_prob
17,Cason Wallace,Isaiah Hartenstein,-54.43,0.152,-25.93,0.247,59.15,0.53,-78.79,0.071
131,Obi Toppin,Tyrese Haliburton,-30.31,0.232,-25.99,0.247,8.96,0.363,-52.66,0.158
33,Bennedict Mathurin,Shai Gilgeous-Alexander,-41.47,0.195,-26.35,0.245,36.17,0.454,-68.35,0.106
122,Aaron Wiggins,Obi Toppin,-30.05,0.233,-26.39,0.245,9.36,0.365,-52.92,0.157
112,Andrew Nembhard,Obi Toppin,-29.79,0.234,-26.79,0.244,9.76,0.366,-53.18,0.156
101,Chet Holmgren,Obi Toppin,-29.66,0.234,-26.99,0.243,9.96,0.367,-53.31,0.156
144,Isaiah Joe,Thomas Bryant,-23.39,0.255,-27.74,0.241,-11.22,0.296,-37.65,0.208
63,Aaron Nesmith,Luguentz Dort,-37.31,0.209,-27.77,0.241,30.33,0.434,-65.25,0.116
48,Luguentz Dort,T.J. McConnell,-37.24,0.209,-27.91,0.24,30.47,0.435,-65.32,0.116
32,Bennedict Mathurin,Luguentz Dort,-36.76,0.211,-28.9,0.237,31.46,0.438,-65.8,0.114
89,Myles Turner,Obi Toppin,-28.14,0.24,-29.37,0.235,12.34,0.374,-54.83,0.151
138,Ben Sheppard,Jalen Williams,-22.92,0.257,-30.51,0.232,-0.26,0.332,-46.31,0.179
130,Jalen Williams,Tyrese Haliburton,-22.13,0.26,-31.55,0.228,0.78,0.336,-47.1,0.176
76,Obi Toppin,Pascal Siakam,-26.7,0.244,-31.62,0.228,14.59,0.382,-56.27,0.146
121,Aaron Wiggins,Jalen Williams,-21.84,0.261,-31.92,0.227,1.15,0.337,-47.39,0.175
111,Andrew Nembhard,Jalen Williams,-21.55,0.261,-32.29,0.226,1.52,0.338,-47.68,0.174
100,Chet Holmgren,Jalen Williams,-21.41,0.262,-32.48,0.225,1.71,0.339,-47.82,0.174
