,NAME,BOOKMAKER,CATEGORY,LINE,OVER/UNDER,ODDS,SIM PROB,EV,KELLY CRITERION
237,Aaron Wiggins,DraftKings,player_points,6.5,Over,-110,0.457,-12.8,0.0
238,Alex Caruso,BetOnline.ag,player_points,9.5,Over,-108,0.452,-12.9,0.0
239,Chet Holmgren,Bovada,player_points,16.5,Under,-170,0.548,-13.0,0.0
240,Jalen Williams,Bovada,player_points,20.5,Over,-125,0.483,-13.05,0.0
241,Jalen Williams,Bovada,player_points,21.5,Over,100,0.435,-13.09,0.0
242,Jalen Williams,BetRivers,player_points,20.5,Over,-127,0.485,-13.32,0.0
243,Myles Turner,BetRivers,player_points,15.5,Under,-159,0.528,-13.98,0.0
244,Alex Caruso,Bovada,player_points,9.5,Over,-110,0.45,-14.09,0.0
245,Tyrese Haliburton,BetOnline.ag,player_points,17.5,Under,-111,0.451,-14.33,0.0
246,Bennedict Mathurin,Bovada,player_points,8.5,Under,100,0.428,-14.33,0.0
247,Cason Wallace,BetRivers,player_points,5.5,Over,-130,0.484,-14.33,0.0
248,Tyrese Haliburton,DraftKings,player_points,17.5,Under,-110,0.448,-14.51,0.0
249,Andrew Nembhard,Bovada,player_points,13.5,Under,-180,0.549,-14.63,0.0
250,Alex Caruso,BetRivers,player_points,7.5,Under,120,0.388,-14.65,0.0
251,Chet Holmgren,DraftKings,player_points,15.5,Under,-125,0.474,-14.74,0.0
252,Chet Holmgren,BetOnline.ag,player_points,15.5,Under,-127,0.476,-14.93,0.0
253,Jalen Williams,FanDuel,player_points,21.5,Over,-104,0.433,-15.04,0.0
254,Cason Wallace,FanDuel,player_points,5.5,Over,-132,0.483,-15.08,0.0
255,Luguentz Dort,Bovada,player_points,9.5,Over,120,0.386,-15.11,0.0
256,Chet Holmgren,Bovada,player_points,15.5,Under,-130,0.479,-15.19,0.0
257,Jalen Williams,BetRivers,player_points,21.5,Over,-106,0.436,-15.25,0.0
258,Jalen Williams,BetOnline.ag,player_points,21.5,Over,-103,0.43,-15.25,0.0
259,Obi Toppin,Bovada,player_points,11.5,Over,165,0.319,-15.57,0.0
260,Pascal Siakam,Bovada,player_points,23.5,Under,-290,0.627,-15.66,0.0
261,Myles Turner,Bovada,player_points,14.5,Under,-115,0.451,-15.72,0.0
