Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Tobias Harris,SF,REB+AST,8.5,Minnesota Timberwolves,105,-125,0.488,0.556,-3.86,-4.42,8.2,8.5,3.79,0.079,0.469,0.531,0.8,0.5,0.53,27.14,4.81,0.17,0.04,15.0,1.0,-1.5,221.0,112.2,6,101.42,9
Tre Jones,PG,REB,3.5,Memphis Grizzlies,100,-115,0.5,0.535,-4.4,-2.41,3.4,4.0,1.78,0.056,0.478,0.522,0.6,0.6,0.4,29.39,2.99,0.2,0.03,2.67,3.0,-4.5,246.0,117.2,22,101.41,10
Kyle Filipowski,C,PTS,12.5,Phoenix Suns,-115,-102,0.535,0.505,-5.03,-2.56,12.6,13.0,5.13,-0.019,0.508,0.492,0.2,0.5,0.6,26.08,4.62,0.22,0.08,7.5,6.0,16.5,231.5,113.0,10,98.03,25
Kon Knueppel,SG,PTS,18.5,Boston Celtics,-105,-110,0.512,0.524,-5.31,-1.68,18.3,18.5,5.33,0.038,0.485,0.515,0.0,0.4,0.4,28.64,5.55,0.21,0.03,20.0,1.0,-2.5,215.5,111.5,4,95.47,30
Kon Knueppel,SG,PTS,18.5,Philadelphia 76ers,-105,-110,0.512,0.524,-5.31,-1.68,18.3,18.5,5.33,0.038,0.485,0.515,0.0,0.4,0.4,28.64,5.55,0.21,0.03,13.0,2.0,-6.5,230.5,114.8,17,100.33,16
LaMelo Ball,PG,PTS+REB+AST,33.5,Boston Celtics,100,-118,0.5,0.541,-6.8,-1.35,32.8,32.5,8.16,0.086,0.466,0.534,0.8,0.6,0.6,26.96,5.27,0.32,0.04,37.33,3.0,-2.5,215.5,111.5,4,95.47,30
LaMelo Ball,PG,PTS+REB+AST,33.5,Philadelphia 76ers,100,-118,0.5,0.541,-6.8,-1.35,32.8,32.5,8.16,0.086,0.466,0.534,0.8,0.6,0.6,26.96,5.27,0.32,0.04,36.75,4.0,-6.5,230.5,114.8,17,100.33,16
Rudy Gobert,C,PTS,12.5,Detroit Pistons,100,-103,0.5,0.507,-7.2,5.64,11.9,10.5,6.64,0.09,0.464,0.536,0.4,0.4,0.33,31.62,4.73,0.13,0.04,12.5,2.0,1.5,221.0,108.7,2,100.03,18
Miles Bridges,SF,PTS,14.5,Boston Celtics,-111,-109,0.526,0.522,-7.62,-1.44,14.3,12.5,5.62,0.036,0.486,0.514,0.0,0.2,0.33,29.11,3.74,0.21,0.04,9.67,3.0,-2.5,215.5,111.5,4,95.47,30
Miles Bridges,SF,PTS,14.5,Philadelphia 76ers,-111,-109,0.526,0.522,-7.62,-1.44,14.3,12.5,5.62,0.036,0.486,0.514,0.0,0.2,0.33,29.11,3.74,0.21,0.04,16.75,4.0,-6.5,230.5,114.8,17,100.33,16
