NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Giannis Antetokounmpo,points,over,espnbet,31.5,-125,31.5,104,2024-10-28
Jaylen Brown,points,under,fanduel,30.5,-114,30.5,-107,2024-10-28
Jaylen Brown,points,under,espnbet,30.5,-110,30.5,-107,2024-10-28
Damian Lillard,assists,under,fanduel,7.5,164,7.5,183,2024-10-28
Damian Lillard,rebounds,over,fanduel,7.5,100,7.5,114,2024-10-28
Giannis Antetokounmpo,rebounds,under,fanduel,11.5,-210,11.5,-166,2024-10-28
Giannis Antetokounmpo,rebounds,under,espnbet,11.5,-170,11.5,-166,2024-10-28
Jayson Tatum,assists,over,fanduel,2.5,-136,2.5,-116,2024-10-28
Damian Lillard,rebounds,under,fanduel,7.5,-132,7.5,-114,2024-10-28
Jayson Tatum,rebounds,under,fanduel,6.5,-162,6.5,-137,2024-10-28
Giannis Antetokounmpo,assists,under,fanduel,6.5,-108,6.5,106,2024-10-28
Jaylen Brown,assists,over,fanduel,4.5,182,4.5,201,2024-10-28
Jayson Tatum,assists,under,fanduel,2.5,102,2.5,116,2024-10-28
Jaylen Brown,rebounds,over,fanduel,6.5,-146,6.5,-125,2024-10-28
Jaylen Brown,assists,under,fanduel,4.5,-250,4.5,-201,2024-10-28
Jayson Tatum,rebounds,over,fanduel,6.5,122,6.5,137,2024-10-28
Jaylen Brown,points,over,fanduel,30.5,-114,30.5,107,2024-10-28
Jaylen Brown,points,over,espnbet,30.5,-130,30.5,107,2024-10-28
Giannis Antetokounmpo,rebounds,over,fanduel,11.5,154,11.5,166,2024-10-28
Giannis Antetokounmpo,rebounds,over,espnbet,11.5,120,11.5,166,2024-10-28
Jaylen Brown,rebounds,under,fanduel,6.5,110,6.5,125,2024-10-28
Payton Pritchard,points,under,fanduel,29.5,-106,29.5,108,2024-10-28
Damian Lillard,assists,over,fanduel,7.5,-225,7.5,-183,2024-10-28
Giannis Antetokounmpo,points,under,fanduel,31.5,-122,31.5,-104,2024-10-28
Giannis Antetokounmpo,points,under,espnbet,31.5,-115,31.5,-104,2024-10-28
Bam Adebayo,rebounds,over,espnbet,9.5,130,9.5,152,2024-10-28
Cade Cunningham,points,under,espnbet,26.5,-165,26.5,-134,2024-10-28
Bam Adebayo,rebounds,under,espnbet,9.5,-185,9.5,-152,2024-10-28
Jalen Duren,rebounds,under,espnbet,11.5,-140,10.5,116,2024-10-28
Jalen Duren,rebounds,over,espnbet,11.5,100,10.5,-116,2024-10-28
Cade Cunningham,points,over,espnbet,26.5,115,26.5,134,2024-10-28
Victor Wembanyama,points,under,espnbet,12.5,-140,18.0,100,2024-10-28
Victor Wembanyama,rebounds,over,espnbet,18.5,140,9.0,100,2024-10-28
